site_name,site_index,point_id,endpoint_type,easting,northing,longitude,latitude
increased_greenness,1,1,start,-1898378.1604966728,2897459.602106612,-121.05986069452707,46.801353076348164
increased_greenness,1,2,end,-1898351.32667213,2897458.023384244,-121.05951729525198,46.80140247667383
increased_greenness,1,3,end,-1898316.6354628354,2897464.3783104657,-121.05910189566326,46.80153954397584
increased_greenness,1,4,end,-1898303.5964594048,2897533.8263868177,-121.05917382494587,46.802175745930896
increased_greenness,1,5,end,-1898293.9316654224,2897569.5860206513,-121.05917368959567,46.80251028031117
increased_greenness,1,6,end,-1898252.1281336248,2897602.3272443027,-121.05875842185898,46.80289414837932
increased_greenness,1,7,end,-1898208.8874712097,2897640.3540704683,-121.05834302049526,46.80332748326548
increased_greenness,1,8,end,-1898197.1942815983,2897664.868932694,-121.05827908590157,46.803568750715556
increased_greenness,1,9,end,-1898191.8735236633,2897724.449162917,-121.0584146822909,46.80410075231175
increased_greenness,1,10,end,-1898169.7833143568,2897846.184384796,-121.05855040850987,46.80521415572503
increased_greenness,1,11,start,-1897688.9270320316,2897234.477980691,-121.05041272469144,46.80101234668047
increased_greenness,1,12,end,-1897777.6677104596,2897269.7820608383,-121.0516506537539,46.8011113463626
increased_greenness,1,13,end,-1897828.2578978941,2897305.4569050292,-121.05240925035389,46.801303346571174
increased_greenness,1,14,end,-1897835.0112175113,2897362.629936196,-121.05268871331518,46.80178594791108
increased_greenness,1,15,end,-1897782.107217276,2897436.411418356,-121.05227310998832,46.802553750466366
increased_greenness,1,16,end,-1897779.0311150951,2897468.925798658,-121.05234490804384,46.80284448465489
increased_greenness,1,17,end,-1897752.4344622837,2897506.3929292406,-121.05213723968463,46.80323375261285
increased_greenness,1,18,end,-1897752.600573287,2897566.8340894715,-121.05234483592874,46.80376035412561
increased_greenness,1,19,end,-1897806.7298810214,2897709.140813945,-121.05351062578353,46.804873756994816
increased_greenness,1,20,end,-1897820.675078749,2897779.5784933027,-121.05392582106006,46.805455091924806
increased_greenness,1,21,end,-1897844.2054711538,2897835.6368328817,-121.05441288366316,46.80588849303798
increased_greenness,1,22,end,-1897893.5444193382,2897937.0144483224,-121.05537920947062,46.80665629497407
unburned_to_low,2,1,start,-1892210.0580571324,2896630.594571234,-120.9793319494843,46.80862097142228
unburned_to_low,2,2,end,-1892201.614540478,2896600.650034909,-120.97912401916396,46.80837963788236
unburned_to_low,2,3,end,-1892177.5584180574,2896553.3257713798,-120.97866042498556,46.80802337126181
unburned_to_low,2,4,start,-1892528.8800298304,2896857.0239769747,-120.98411736787446,46.80984743062094
unburned_to_low,2,5,end,-1892520.1601009588,2896825.7735716654,-120.98390150437359,46.809595363753985
unburned_to_low,2,6,end,-1892477.0424749693,2896821.1184501904,-120.98334237567357,46.8096559651934
unburned_to_low,2,7,end,-1892442.5243643108,2896836.367640133,-120.9829591113255,46.80986996665632
unburned_to_low,2,8,end,-1892418.1800840292,2896856.2353525874,-120.98271971229461,46.810100367838196
unburned_to_low,2,9,end,-1892371.408316794,2896858.1424361276,-120.98213678348594,46.81022676951867
unburned_to_low,2,10,end,-1892343.5059797731,2896858.186471144,-120.9817853196,46.810292637170654
unburned_to_low,2,11,end,-1892316.4234594265,2896843.368869825,-120.98139379005293,46.810226971216196
unburned_to_low,2,12,end,-1892252.6073637097,2896748.269833428,-120.98026713668987,46.80954737189198
unburned_to_low,2,13,end,-1892240.5012821273,2896724.899964017,-120.98003533959792,46.80937197192905
unburned_to_low,2,14,end,-1892217.66698667,2896656.5229489696,-120.97951574684409,46.80882923825632
unburned_to_low,2,15,start,-1892570.5721053716,2896866.9756305274,-120.984676496325,46.80983636264953
unburned_to_low,2,16,end,-1892548.063907525,2896863.4482555757,-120.98438089882521,46.809858430050376
unburned_to_low,2,17,end,-1892540.722686024,2896935.6618077485,-120.98453329423845,46.81050543147485
unburned_to_low,2,18,start,-1892198.8281220025,2896636.998400012,-120.97921215013665,46.808703171924165
unburned_to_low,2,19,end,-1892177.1940342735,2896653.8351680664,-120.9789966177347,46.808900772967164
unburned_to_low,2,20,end,-1892186.1007771974,2896644.268292251,-120.97907641754227,46.80879643915999
low_severity,3,1,start,-1901505.899327442,2917513.1854530796,-121.16773714779092,46.96883719321176
low_severity,3,2,end,-1901476.356226209,2917521.517436034,-121.16739268179172,46.96897972674461
low_severity,3,3,end,-1901451.5380234018,2917531.138517511,-121.16711228214172,46.969122327017786
low_severity,3,4,end,-1901423.4181293058,2917534.1843876936,-121.1667676831734,46.96921539367444
low_severity,3,5,end,-1901372.5866539488,2917520.3919453155,-121.16607868659683,46.96921532620678
low_severity,3,6,end,-1901344.4629677716,2917523.45236981,-121.16573408762909,46.96930852619605
low_severity,3,7,end,-1901313.4833892186,2917537.0446436293,-121.1653894879435,46.96950032659691
low_severity,3,8,end,-1901278.528077812,2917565.2988718627,-121.16504488725948,46.96982939423637
low_severity,3,9,end,-1901263.0707068779,2917582.4812308345,-121.16490855324692,46.970015794855094
low_severity,3,10,end,-1901244.0420420633,2917591.784585728,-121.16470015336591,46.97014192847094
low_severity,3,11,end,-1901221.4489094988,2917593.203189054,-121.16441975428319,46.97020772841682
low_severity,3,12,start,-1901918.6762670304,2916979.8759622243,-121.17112230571826,46.96321003996245
low_severity,3,13,end,-1901911.7693593337,2917005.3402164355,-121.17112230396447,46.96344844097239
low_severity,3,14,end,-1901902.1345413877,2917040.920085033,-121.17112250151332,46.96378150905028
low_severity,3,15,end,-1901872.8414261364,2917108.5582476277,-121.17098429734315,46.964440645021746
low_severity,3,16,end,-1901832.2381689053,2917157.2887096545,-121.17063856187809,46.964961646840784
low_severity,3,17,end,-1901792.2738587586,2917244.1024963968,-121.17043128997284,46.96581325021031
low_severity,3,18,end,-1901773.8992331878,2917271.371652878,-121.17029268858946,46.96609451790979
low_severity,3,19,end,-1901756.8844111061,2917293.8418170433,-121.1701548208677,46.96633071875211
low_severity,3,20,end,-1901726.8128071232,2917323.8783251103,-121.16987801978809,46.96666378651176
low_severity,3,21,end,-1901704.7461408537,2917344.863639413,-121.16967128574932,46.96689898726973
low_severity,3,22,end,-1901629.6446481086,2917460.2096454385,-121.16911807980382,46.968082524963016
low_severity,3,23,end,-1901581.6775327062,2917495.8581306096,-121.16863454575702,46.96850685952689
low_severity,3,24,end,-1901555.8326954138,2917510.5287824515,-121.16835847907485,46.968695926670364
low_severity,3,25,start,-1901372.4819527364,2917097.7199053713,-121.16463032062336,46.96552950914611
low_severity,3,26,end,-1901419.0954266398,2917148.108998257,-121.1653913144766,46.96585871137881
low_severity,3,27,end,-1901454.8088021376,2917217.543723976,-121.16607990728102,46.96637978100432
low_severity,3,28,end,-1901455.3123976889,2917255.429212318,-121.16621597087362,46.96670898253723
low_severity,3,29,end,-1901444.336876751,2917295.8434059974,-121.16621576811293,46.96708738412163
low_severity,3,30,end,-1901445.431450757,2917333.8661546516,-121.16635976499948,46.96741638566408
low_severity,3,31,end,-1901458.4437767146,2917386.4730014596,-121.1667041601697,46.96784438785274
